Year,FSCS ID,Town,Library,Mailing Address,Street Address,County,Phone Number,Hours per Week,FY Ends,Population,Hours MLS,ALA MLS,Hours Librarian,FTE Librarians,Hours other,Other Staff,Total Hours,Total FTE,Weekly Volunteer Hrs,Square Feet,Cap. Revenue - Local Taxes,Cap. Revenue - State,Cap. Revenue - Federal, Cap. Revenue - Other ,Total Cap. Revenue , Local Tax , Per Capita Tax ,Other Income, Total Income , State Grant  , Federal Grant , Other Grant , Total Grants , Fee Revenue, Book Expense , E Expense, AV Expense,Total Media Expense , Per Capita Expense, Salaries , Employee Benefits , Total Staff Expense , Other Expense , Total Operating Expense , PC Total Expense ,Grant Expense, Capital Expense ,Adult Books,Juvenile Books,Books,Per Capita Books,E Books,Adult Video,Juvenile Video,Video,Adult Audio,Juvenile Audio,Audio,Total Holdings,Adult Subscriptions,Juvenile Subscriptions,Subscriptions,Databases,E serials,Adult Borrowers,Juvenile Borrowers,Borrowers,% of population who borrow,Visits,Per Capita Visits,Reference Trans.,Per Capita Reference Trans.,Adult Circulation,Juvinile Circulation,Total Circulation,Per Capita Circulation,Collection Turnover,Library Loans Out,Library Loans In,Adult Programs,Juvenile Programs,Young Adult Programs,Total Programs,Adult Prog. Attend.,Juvenile Prog. Attend.,Young Adult Prog. Attend.,Total Program Attendance,Per Capita Prog. Attend.,Home Deliveries,Day Care Deliveries,Other Deliveries,Number of Computers,Public Computers,Computer Trained,Computer Users per Week,Wireless Users per Week,Internet Type,filtered?,Name of filtering program,Meets Standards?,Library Type,Automated?,Automation Vendor,Location 1,ZIP+4,Web address,City
2011-2012,VT0145,SOUTH BURLINGTON,South  Burlington Community,550 Dorset St.,550 Dorset St.,Chittenden,(802) 652-7080,49,06/30/2012,17605,40,1,204,5.1,12,0.3,216,5.4,24,11900,$0.00,$0.00,$0.00,$0.00,$0.00,$390309.00,$22.17,$4972.00,$395931.00,$100.00,$341.00,$4264.00,$4705.00,$650.00,$31187.00,$2362.00,$5115.00,$38664.00,$2.20,$208054.00,$61543.00,$269597.00,$85707.00,$393968.00,$22.38,$4605.00,$0 ,45275,17818,63093,3.58,0,1986,367,2353,1436,261,1697,67143,50,8,58,26,0,N/A,N/A,9376,53.26%,77324,4.39,14872,0.84,N/A,N/A,124181,7.05,1.85%,533,454,269,147,0,416,2211,5487,0,7698,0.44,119,40,N/A,12,6,N/A,300,N/A,high speed,Yes,Dan's Guardian,y-86,Municipal,Yes,Follett Destiny,"550 Dorset St.
S. Burlington, VT 05403
(44.45430857700046, -73.17889135799965)",6233,http://sbcl.sbschools.net,S. Burlington
2011-2012,VT0133,RUTLAND,Rutland Free,10 Court St.,10 Court St.,Rutland,(802) 773-1860,50.88461538,06/30/2012,22758,143,3.5625,143,3.5625,265,6.625,408,10.1875,38,24167,$0.00,$0.00,$0.00,$0.00,$0.00,$729205.00,$32.04,$384250.00,$1126656.00,$100.00,$42449.00,$1900.00,$44449.00,$13201.00,$59414.00,$17337.00,$19532.00,$96283.00,$4.23,$495894.00,$190457.00,$686351.00,$310594.00,$1093228.00,$48.04,$87394.00,$0 ,53691,17179,70870,3.11,0,4524,0,4524,3471,142,3613,79007,185,15,200,34,0,11342,1648,12990,57.08%,131248,5.77,9256,0.41,126662,56083,182745,8.03,2.31%,1512,1084,148,95,2,245,1944,2649,87,4680,0.21,96,0,24,34,16,6060,1166,4204,high speed,No,cyberpatrol on 1 of 15,y-98,Incorporated,Yes,Sirsi,"10 Court St.
Rutland, VT 05701
(43.6071667220005, -72.97558449699966)",4058,rutlandfree.org,Rutland
2011-2012,VT0031,CAMBRIDGE,Varnum Memorial,PO Box 198,194 Main St.,Lamoille,(802) 644-2117,30.69230769,12/31/2011,3596,0,0,22,0.55,18,0.45,40,1,18,1744,$0.00,$0.00,$0.00,$0.00,$0.00,$33600.00,$9.34,$9175.00,$42775.00,$0.00,$0.00,$6250.00,$6250.00,N/A,$9198.00,$0.00,$546.00,$9744.00,$2.71,$20662.00,$2503.00,$23165.00,$24697.00,$57606.00,$16.02,$0.00,"$5,178 ",N/A,N/A,7296,2.03,0,N/A,N/A,283,N/A,N/A,160,7739,14,1,15,25,0,621,134,755,21%,8892,2.47,416,0.12,N/A,N/A,8950,2.49,1.16%,57,111,12,2,0,14,148,24,N/A,172,0.05,0,0,0,9,7,8,58,10,high speed,No,n/a,y-86,Incorporated,Yes,KOHA,"194 Main St.
Jeffersonville, VT 05464
(44.64640557100046, -72.82823684199963)",198,www.thevarnum.org,Jeffersonville
2011-2012,VT0055,FAIRFAX,Fairfax Community,75 Hunt St.,"75 Hunt Street, library located in",Franklin,(802) 849-2420,52.70588235,12/31/2011,4226,0,0,32,0.79375,30,0.75,62,1.54375,6,5112,$0.00,$0.00,$0.00,$0.00,$0.00,$74568.00,$17.65,$845.00,$75878.00,$100.00,$783.00,$1859.00,$2742.00,$465.00,$8585.00,$0.00,$2600.00,$11185.00,$2.65,$53647.00,$9968.00,$63615.00,$8330.00,$83130.00,$19.67,$2042.00,$0 ,N/A,N/A,39497,9.35,0,N/A,N/A,1092,N/A,N/A,1149,41738,12,2,14,25,0,N/A,N/A,1419,33.58%,17524,4.15,2756,0.65,N/A,N/A,67942,16.08,1.63%,541,202,24,65,6,95,129,1564,43,1736,0.41,3,0,0,2,13,N/A,40,N/A,high speed,No,www.opendns.com,y-86,Community (joint school-public),Yes,Follett Destiny,"75 Hunt Street, library located in
Fairfax, VT 05454
(44.66303705000047, -73.01351995099964)",9675,www.fairfaxvtlibrary.org,Fairfax
2011-2012,VT0196,WOODSTOCK,Norman Williams Public,10 South Park St.,10 South Park St.,Windsor,(802) 457-2295,51,06/30/2012,3070,60,1.5,70,1.75,120,3,190,4.75,35,15000,$0.00,$0.00,$0.00,$0.00,$0.00,$161100.00,$52.48,$112990.00,$284086.00,$100.00,$937.00,$0.00,$1037.00,$9996.00,$27289.00,$219.00,$3954.00,$31462.00,$10.25,$195742.00,$51907.00,$247649.00,$125132.00,$404243.00,$131.68,$1037.00,$0 ,N/A,N/A,50624,16.49,0,N/A,N/A,1928,N/A,N/A,2031,54583,N/A,N/A,83,25,0,N/A,N/A,3790,123.45%,58604,19.09,3952,1.29,28507,22707,51214,16.68,0.94%,958,873,20,224,N/A,244,532,2595,N/A,3127,1.02,0,0,0,21,10,0,106,41,high speed,No,n/a,y-86,Incorporated,Yes,Mandarin,"10 South Park St.
Woodstock, VT 05091
(43.62455286700049, -72.51898289499962)",1212,www.normanwilliams.org,Woodstock
2011-2012,VT0178,WESTFIELD,Hitchcock Museum & Library,PO Box 87,1252 Route 100,Orleans,(802) 744-8258,N/R,N/R,538,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,2700,N/R,N/R,N/R,N/R,N/R,N/R,NA,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,NA,N/R,N/R,N/R,N/R,N/R,NA,N/R,N/R,N/R,N/R,N/R,NA,N/R,N/R,N/R,N/R,N/R,N/R,N/R,NA,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,NA,N/R,NA,N/R,N/R,N/R,NA,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,NA,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"1252 Route 100
Westfield, VT 05874
(44.88767572000046, -72.42897830099963)",87,N/R,Westfield
2011-2012,VT0010,BARNET/MCINDOES,McIndoes Academy,PO Box 66,37 Academy Lane,Caledonia,(802) 866-5575,N/R,N/R,1828,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,1470,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"37 Academy Lane
McIndoe Falls, VT 05050
(44.26431504700048, -72.06421331999962)",66,N/R,McIndoe Falls
2011-2012,VT0183,WEST RUTLAND,West Rutland Public,PO Box 66,595 Main St.,Rutland,(802) 438-2964,22.62745098,12/31/2011,2468,0,0,15,0.375,21,0.5125,36,0.8875,4,3000,$0.00,$24000.00,$0.00,$0.00,$24000.00,$37200.00,$15.07,$18890.00,$56090.00,$0.00,$0.00,$0.00,$0.00,N/A,$3373.00,N/A,$1285.00,$4658.00,$1.89,$23287.00,$1782.00,$25069.00,$15626.00,$45353.00,$18.38,$24000.00,"$212,286 ",N/A,N/A,9454,3.83,13,N/A,N/A,1159,164,10,174,10787,26,0,26,0,0,559,343,902,36.55%,7852,3.18,9672,3.92,5752,3705,9457,3.83,0.88%,3,36,6,25,12,43,220,370,67,657,0.27,0,0,0,4,3,1,40,15,high speed,Yes,deep freeze,y-86,Incorporated,No,n/a,"595 Main St.
West Rutland, VT 05777
(43.594914005000476, -73.04894445599967)",66,westrutlandpubliclibrary@weebly.com,West Rutland
2011-2012,VT0013,BARTON/ORLEANS,Jones Memorial,1 Water Street,1 Water St.,Orleans,(802) 754-6660,28,12/31/2011,2404,0,0,26,0.65,28,0.7,54,1.35,0,11500,$0.00,$0.00,$0.00,$0.00,$0.00,$10000.00,$4.16,$53237.00,$63237.00,$0.00,$50.00,$0.00,$50.00,$0.00,$8477.00,$373.00,$0.00,$8850.00,$3.68,$24598.00,$5092.00,$29690.00,$27458.00,$65998.00,$27.46,$0.00,$0 ,N/A,N/A,27003,11.23,0,N/A,N/A,937,N/A,N/A,295,28235,N/A,N/A,10,0,0,N/A,N/A,4854,201.96%,8476,3.53,0,0,6835,4497,11332,4.71,0.4%,N/A,52,0,56,0,56,0,190,0,190,0.08,0,48,0,7,6,N/A,41,N/A,high speed,No,N/A,y-86,Municipal,No,N/A,"1 Water St.
Orleans, VT 05860
(44.81092124300045, -72.20214610399967)",38,jonesmemoriallibrary.wordpress.com,Orleans
2011-2012,VT0194,WOLCOTT,G. M. Kelley Community,PO Box 179,320 School Mill Rd,Lamoille,(802) 472-6551,40,06/30/2012,1652,0,0,36,0.9,0,0,36,0.9,5,1126,$0.00,$0.00,$0.00,$0.00,$0.00,$50934.00,$30.83,$2677.00,$53611.00,$1500.00,$0.00,$4300.00,$5800.00,$0.00,$3869.00,$1178.00,$1130.00,$6177.00,$3.74,$37170.00,$7597.00,$44767.00,$6845.00,$57789.00,$34.98,$0.00,$0 ,N/A,N/A,11500,6.96,0,N/A,N/A,105,N/A,N/A,0,11605,N/A,N/A,18,0,0,N/A,N/A,417,25.24%,11336,6.86,11336,6.86,N/A,N/A,14469,8.76,1.25%,8,0,2,2,0,4,N/A,N/A,0,107,0.06,0,32,0,3,3,20,24,24,high speed,Yes,Sonic web blocker,y-86,Community (joint school-public),Yes,Libraryworld,"320 School Mill Rd
Wolcott, VT 05680
(44.54222281900047, -72.45793647599965)",179,gmk_wolcott@vals.state.vt.us,Wolcott
2011-2012,VT0187,WILLIAMSTOWN,Ainsworth Public,PO Box 236,2338 VT Rte. 14,Orange,(802) 433-5887,30,06/30/2012,3388,21,0.525,21,0.525,12,0.3,33,0.825,7,3522,$4800.00,$0.00,$0.00,$0.00,$4800.00,$42279.00,$12.48,$3258.00,$45537.00,$100.00,$35.00,$0.00,$135.00,N/A,$5196.00,$225.00,N/A,$5421.00,$1.60,$23117.00,$2919.00,$26036.00,$9700.00,$41157.00,$12.15,$60.00,"$4,800 ",N/A,N/A,10577,3.12,0,325,73,398,350,26,376,11351,30,4,34,24,0,N/A,N/A,1503,44.36%,4524,1.34,1196,0.35,N/A,N/A,4579,1.35,0.4%,17,141,11,32,0,43,115,361,N/A,476,0.14,1,0,11,5,4,N/A,19,3,high speed,No,none,y-98,Municipal,Yes,athena follette,"2338 VT Rte. 14
Williamstown, VT 05679
(44.12250924300048, -72.54128875299966)",236,ainsworthpubliclibrary.wordpress.com,Williamstown
2011-2012,VT0151,STOWE,Stowe Free,PO Box 1029,90 Pond Street,Lamoille,(802) 253-6145,43,06/30/2012,4298,40,1,120,3,100,2.5,220,5.5,21,6000,$29004.00,$0.00,$0.00,$0.00,$29004.00,$474619.00,$110.43,$56450.00,$535369.00,$100.00,$525.00,$3000.00,$3625.00,$4300.00,$36981.00,$1926.00,$10178.00,$49085.00,$11.42,$248063.00,$107580.00,$355643.00,$73838.00,$478566.00,$111.35,$3000.00,"$29,004 ",18869,8867,27736,6.45,0,2868,894,3762,1255,712,1967,33465,109,12,121,24,0,6181,703,6884,160.17%,0,0,0,0,N/A,N/A,96230,22.39,2.88%,617,348,18,140,N/A,158,400,2991,N/A,3391,0.79,N/A,N/A,N/A,21,12,N/A,125,N/A,high speed,No,N/A,y-86,Municipal,Yes,Koha,"90 Pond Street
Stowe, VT 05672
(44.4642824660005, -72.68464494899968)",1029,http://www.stowelibrary.org/,Stowe
2011-2012,VT0036,CHELSEA,Chelsea Public,PO Box 67,296 Rte. 110,Orange,(802) 685-2188,23,12/31/2011,1393,0,0,20,0.5,9,0.225,29,0.725,5,882,$0.00,$0.00,$0.00,$0.00,$0.00,$24000.00,$17.23,$16143.00,$40143.00,$0.00,$0.00,$0.00,$0.00,N/A,$3999.00,$400.00,$842.00,$5241.00,$3.76,$20400.00,$1440.00,$21840.00,$14248.00,$41329.00,$29.67,$0.00,$0 ,4102,3539,7641,5.49,0,1081,204,1285,367,48,415,9341,40,2,82,25,0,N/A,N/A,800,57.43%,7800,5.6,780,0.56,12338,3465,15803,11.34,1.69%,389,468,N/A,23,0,23,N/A,180,N/A,180,0.13,0,0,0,6,4,260,60,40,high speed,No,N/A,y-98,Municipal,Yes,Destiny,"296 Rte. 110
Chelsea, VT 05038
(43.98917315200049, -72.44766354599966)",67,http://chelsealibrary.kohavt.org,Chelsea
2011-2012,VT0020,BRATTLEBORO,Brooks Memorial,224 Main St.,224 Main St.,Windham,(802) 254-5290,50,06/30/2012,12031,150,3.75,150,3.75,254,6.3375,404,10.0875,2,17600,$20000.00,$0.00,$0.00,$0.00,$20000.00,$727873.00,$60.50,$54304.00,$801555.00,$0.00,$2674.00,$400.00,$3074.00,$19378.00,$70559.00,$17022.00,$15281.00,$102862.00,$8.55,$405596.00,$140129.00,$545725.00,$128616.00,$777203.00,$64.60,$11280.00,"$12,300 ",57253,15931,73184,6.08,80,1965,571,2536,2714,856,3570,79290,234,6,240,38,0,6265,1208,7473,62.11%,153036,12.72,15808,1.31,99015,62356,161371,13.41,2.04%,1851,2203,62,356,N/A,418,5127,5204,N/A,10331,0.86,0,0,988,45,20,11712,788,519,high speed,No,N/A,y-98,Municipal,Yes,TLC(THE LIBRARY CORPORATION) ,"224 Main St.
Brattleboro, VT 05301
(42.85536749100049, -72.55961275299967)",3542,http://www.brooks.lib.vt.us,Brattleboro
